Time,Lambda = 0.0 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.01 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.02 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.03 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.04 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.05 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.06 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.07 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.08 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.09 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.1 / Alpha = 0.0 / Delta = 0.1
0.0,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286
0.041666666666666664,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286
0.08333333333333333,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286
0.125,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286
0.16666666666666666,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286
0.20833333333333331,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286,142.85714285714286
0.24999999999999997,128.57142857142858,128.57142857142858,128.57142857142858,128.57142857142858,128.57142857142858,128.57142857142858,128.57142857142858,128.57142857142858,128.57142857142858,128.57142857142858,128.57142857142858
0.29166666666666663,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572
0.3333333333333333,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572
0.375,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572,115.71428571428572
